,Country,Industry,Business Area,Legal Entity Name,Financial Year,Is Current Quarter?,Quarter,Planned Sales Revenue,Sales Revenue,Sales Revenue (Forecasted),Planned Service Revenue,Service Revenue,Service Revenue  (Forecasted),Planned Non Service Revenue,Non Service Revenue,Non Service Revenue (Forecasted),Planned Total Revenue,Total Revenue,Total Revenue (Forecasted),Planned COGS,COGS,COGS (Forecasted),Planned Administrative Expenses,Administrative Expenses,Administrative Expenses (Forecasted),Planned Third Party Expenses,Third Party Expenses,Third Party Expenses (Forecasted),Planned Other Expenses,Other Expenses,Other Expenses (Forecasted),Planned Total Expense,Total Expense,Total Expense (Forecasted),Planned Gross Margin,Gross Margin,Gross Margin (Forecasted),Planned Gross Margin %,Gross Margin %,Gross Margin % (Forecasted),Planned R&D Expenses,R&D Expenses,R&D Expenses (Forecasted),Planned Sales Cost,Sales Cost,Sales Cost (Forecasted),Planned Other Operating Expenses,Other Operating Expenses,Other Operating Expenses (Forecasted),Planned Operating Margin,Operating Margin,Operating Margin (Forecasted),Planned Operating Margin %,Operating Margin %,Operating Margin % (Forecasted),Planned Depreciation,Depreciation,Depreciation (Forecasted),Planned Interest,Interest,Interest (Forecasted),Planned Tax,Tax,Tax (Forecasted),Planned Net Margin,Net Margin,Net Margin (Forecasted),Planned Net Margin %,Net Margin %,Net Margin % (Forecasted),Planned Adjustment to Income,Adjustment to Income,Adjustment to Income (Forecasted),Planned Inventory,Inventory,Inventory (Forecasted),Planned Cash Flow from Operating Activities,Cash Flow from Operating Activities,Cash Flow from Operating Activities (Forecasted),Planned Capex,Capex,Capex - Forecasted,Planned Investments,Investments,Investments - Forecasted,Planned Cash Flow from Investment Activities,Cash Flow from Investment Activities,Cash Flow from Investment Activities (Forecasted),Dividends Paid,Sale/ Repurchase of Shares,Increase in Debt,Exchange Rate Gain/ Loss,Planned Cash Flow from Financial Activities,Cash Flow from Financial Activities,Cash Flow from Financial Activities Forecasted,Planned Net Cash Flow,Net Cash Flow,Net Cash Flow Forecasted,Planned Cash In Hand,Cash In Hand,Cash In Hand Forecasted,Planned Net Assets,Net Assets,Net Assets Forecasted,Planned Other Trade Debts,Other Trade Debts,Other Trade Debts Forecasted,Planned Net Liabiities,Net Liabiities,Net Liabiities Forecasted,Planned Net Working Capital,Net Working Capital,Net Working Capital Forecasted
10,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2018,N,Q3,65430924,66390058,65430924,,,,,,,65430924,66390058,65430924,7757163,9434311,7757163,6282232,9968172,6282232,5273374,9592835,5273374,1174143,1478124,1174143,20486912,30473442,20486912,44944012,35916616,44944012,69%,54%,69%,1832111,2798735,1832111,13706336,13182320,13706336,1592298,4391141,1592298,27813267,15544420,27813267,43%,23%,43%,1060462,1351620,1060462,6056120,5934566,6056120,5562653,3108884,5562653,17254956,7852590,17254956,26%,12%,26%,496141,477632,496141,9342825,7142514,9342825,38712695,24516186,38712695,-2692968,-4926249,-2692968,-5363262,-3444209,-5363262,-8056230,-8370458,-8056230,,,,,,,0,30656465,16145728,30656465,1480414,1548271,1480414,76254163,75080843,76254163,2955280,1955662,2955280,40572937,52801300,40572937,35681226,22279543,35681226
11,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2018,N,Q4,64201611,69570603,64201611,,,,,,,64201611,69570603,64201611,5010349,5639243,5010349,9749585,7035786,9749585,8767866,9086978,8767866,2228714,1239040,2228714,25756514,23001047,25756514,38445097,46569556,38445097,60%,67%,60%,2347651,2724310,2347651,11014360,11404085,11014360,1235768,1860545,1235768,23847318,30580616,23847318,37%,44%,37%,2803442,2212634,2803442,6707881,6708497,6707881,4769464,6116123,4769464,15173415,19968630,15173415,24%,29%,24%,375455,116342,375455,7257088,7534838,7257088,34283303,40444430,34283303,-7319690,-5216639,-7319690,-1045151,-9167736,-1045151,-8364841,-14384375,-8364841,,,,,,,0,25918462,26060055,25918462,3030156,2338093,3030156,74488855,79443534,74488855,2214107,2635944,2214107,42568400,41625931,42568400,31920455,37817603,31920455
12,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2019,N,Q1,63085792,62460992,63085792,,,,,,,63085792,62460992,63085792,6940031,9816936,6940031,8461215,5919864,8461215,8131313,9264752,8131313,1435567,1128108,1435567,24968126,26129660,24968126,38117666,36331332,38117666,60%,58%,60%,2405440,2256014,2405440,10950748,14763384,10950748,3271517,4769061,3271517,21489961,14542873,21489961,34%,23%,34%,2877922,1205481,2877922,6522224,7750045,6522224,4297992,2908575,4297992,13547667,5089734,13547667,21%,8%,21%,112508,288112,112508,6146425,5590445,6146425,30626816,21626911,30626816,-1046933,-8388138,-1046933,-5836233,-8400311,-5836233,-6883166,-16788449,-6883166,,,,,,,0,23743650,4838462,23743650,1222584,4336005,1222584,70454801,72387442,70454801,2348573,1661554,2348573,43944404,49579673,43944404,26510397,22807769,26510397
13,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2019,N,Q2,68445002,64936689,68445002,,,,,,,68445002,64936689,68445002,7876368,7830712,7876368,7813619,9431733,7813619,6307459,7722757,6307459,2233671,2368016,2233671,24231117,27353218,24231117,44213885,37583471,44213885,65%,58%,65%,1002049,2642464,1002049,12925231,11884361,12925231,2870175,2272946,2870175,27416430,20783700,27416430,40%,32%,40%,2948530,1964341,2948530,5991524,5684104,5991524,5483286,4156740,5483286,18890150,12907197,18890150,28%,20%,28%,484910,231520,484910,8748745,8065693,8748745,39598615,31045254,39598615,-4223480,-3839881,-4223480,-5370580,-4085816,-5370580,-9594060,-7925697,-9594060,,,,,,,0,30004555,23119557,30004555,4184361,4507873,4184361,81378108,77510255,81378108,1775477,1921190,1775477,42804049,46074179,42804049,38574059,31436076,38574059
14,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2019,Y,Q3,68185004,69904212,68185004,,,,,,,68185004,69904212,68185004,7869450,6849053,7869450,9609211,9595188,9609211,8489531,5180977,8489531,1764785,1088466,1764785,27732977,22713684,27732977,40452027,47190528,40452027,59%,68%,59%,2856638,2922427,2856638,12471597,11473016,12471597,2378488,4284182,2378488,22745304,28510903,22745304,33%,41%,33%,2506123,1476155,2506123,5193988,7115339,5193988,4549061,5702181,4549061,15508378,17169538,15508378,23%,25%,23%,220203,143738,220203,9168076,9130778,9168076,34639706,39261574,34639706,-4400801,-4674698,-4400801,-6756829,-6260757,-6756829,-11157630,-10935455,-11157630,,,,,,,0,23482076,28326119,23482076,3469617,2012789,3469617,80822697,81047779,80822697,3601618,3221611,3601618,49041318,44614920,49041318,31781379,36432859,31781379
15,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2019,N,Q4,67046903,,67046903,,,,,,,67046903,0,67046903,9370428,,9370428,6734843,,6734843,9507009,,9507009,1176652,,1176652,26788932,0,26788932,40257971,0,40257971,60%,,60%,1701007,,1701007,14581792,,14581792,3214718,,3214718,20760454,0,20760454,31%,,31%,2620012,,2620012,5887262,,5887262,4152091,0,4152091,13341113,0,13341113,20%,,20%,67284,,67284,5368818,,5368818,28816568,0,28816568,-1836526,,-1836526,-8897305,,-8897305,-10733831,0,-10733831,,,,,,,0,18082737,0,18082737,2694081,,2694081,75109802,0,75109802,3148445,,3148445,49434894,0,49434894,25674908,0,25674908
16,Australia,Metals,Mining,Australia Mining Ltd,FY2018,N,Q1,27864112,25800636,27864112,,,,26937468,29070341,26937468,54801580,54870977,54801580,8484580,5334329,8484580,6180945,9298441,6180945,5807356,6498094,5807356,29448952,13558148,29448952,49921833,34689012,49921833,4879747,20181965,4879747,9%,37%,9%,1650847,2936454,1650847,13632132,10123083,13632132,4992005,4850219,4992005,-15395237,2272209,-15395237,-28%,4%,-28%,1738961,2203348,1738961,6927865,5825840,6927865,0,454442,0,-20584141,-1804725,-20584141,-38%,-3%,-38%,54097,429638,54097,7713544,7380794,7713544,-5888635,12285989,-5888635,-6986658,-8401275,-6986658,-3446612,-4699829,-3446612,-10433270,-13101104,-10433270,,,,,2914921,6259007,2914921,-13406984,5443892,-13406984,1597425,4373944,1597425,64112549,66625715,64112549,2790998,2844542,2790998,72987815,55443310,72987815,-8875266,11182405,-8875266
17,Australia,Metals,Mining,Australia Mining Ltd,FY2018,N,Q2,25195839,28154105,25195839,,,,27600383,27114845,27600383,52796222,55268950,52796222,5292691,6134745,5292691,5875249,8663709,5875249,8853465,8699292,8853465,16546602,23224903,16546602,36568007,46722649,36568007,16228215,8546301,16228215,31%,15%,31%,1157466,2562971,1157466,14112382,10325832,14112382,3065009,2435416,3065009,-2106642,-6777918,-2106642,-4%,-12%,-4%,1460088,1481177,1460088,5437597,5028503,5437597,0,0,0,-6084151,-10325244,-6084151,-12%,-19%,-12%,406312,413903,406312,9701796,7496249,9701796,9461554,2613411,9461554,-6459814,-9575749,-6459814,-9323005,-9848925,-9323005,-15782819,-19424674,-15782819,,,,,6461033,1982228,6461033,139768,-14829035,139768,3642407,1816557,3642407,66140425,64581756,66140425,2456057,2995946,2456057,57358921,65042814,57358921,8781504,-461058,8781504
18,Australia,Metals,Mining,Australia Mining Ltd,FY2018,N,Q3,28230356,27188218,28230356,,,,26890859,25014350,26890859,55121215,52202568,55121215,8926062,7324731,8926062,7139069,6968689,7139069,7038787,5924200,7038787,16602304,12000512,16602304,39706222,32218132,39706222,15414993,19984436,15414993,28%,38%,28%,1630491,2374110,1630491,12299700,14338086,12299700,3319846,1227018,3319846,-1835044,2045222,-1835044,-3%,4%,-3%,1711781,2919880,1711781,7112557,5932094,7112557,0,409044,0,-7235820,-1376036,-7235820,-13%,-3%,-13%,220888,389193,220888,5411985,8026178,5411985,5509610,13380473,5509610,-9380013,-1600778,-9380013,-7815689,-2082115,-7815689,-17195702,-3682893,-17195702,,,,,4415574,1248029,4415574,-7270518,10945609,-7270518,2256527,2164765,2256527,62789727,62393511,62789727,3718877,2431992,3718877,60675136,52589338,60675136,2114591,9804173,2114591
19,Australia,Metals,Mining,Australia Mining Ltd,FY2018,N,Q4,27089424,26041301,27089424,,,,29083853,27302086,29083853,56173277,53343387,56173277,7564265,7258425,7564265,7676625,8921997,7676625,6026315,7504726,6026315,11805809,29740733,11805809,33073014,53425881,33073014,23100263,-82494,23100263,41%,0%,41%,2278670,1911549,2278670,10996905,14971351,10996905,2757356,2370505,2757356,7067332,-19335899,7067332,13%,-36%,13%,1310962,1914726,1310962,5513261,6794293,5513261,1413466,0,1413466,1451567,-24215466,1451567,3%,-45%,3%,133965,405692,133965,5949065,5111829,5949065,14461324,-11903652,14461324,-1813227,-6436401,-1813227,-9090464,-8443757,-9090464,-10903691,-14880158,-10903691,,,,,7610966,7821896,7610966,11168599,-18961914,11168599,4502183,1361628,4502183,66624525,59816844,66624525,2695450,3660596,2695450,51801395,76339882,51801395,14823130,-16523038,14823130
20,Australia,Metals,Mining,Australia Mining Ltd,FY2019,N,Q1,27169027,29558370,27169027,,,,29232581,29601576,29232581,56401608,59159946,56401608,7743575,8730751,7743575,5786921,8302379,5786921,7959205,7441519,7959205,13492582,19224791,13492582,34982283,43699440,34982283,21419325,15460506,21419325,38%,26%,38%,1768025,2222095,1768025,14104409,11169592,14104409,3010379,2495160,3010379,2536512,-426341,2536512,4%,-1%,4%,2777599,2273422,2777599,7288982,6945535,7288982,507302,0,507302,-2482173,-5098454,-2482173,-4%,-9%,-4%,155737,84240,155737,5290521,9125628,5290521,10760369,11056949,10760369,-7006696,-4343091,-7006696,-8577863,-5369537,-8577863,-15584559,-9712628,-15584559,,,,,5064052,4308088,5064052,239862,5652409,239862,1845336,2924103,1845336,63537465,71209677,63537465,3055108,3948587,3055108,56920204,63534874,56920204,6617261,7674803,6617261
21,Australia,Metals,Mining,Australia Mining Ltd,FY2019,N,Q2,29403445,29194215,29403445,,,,29093292,29286013,29093292,58496737,58480228,58496737,8764133,7611687,8764133,8835549,9710517,8835549,7444877,8276975,7444877,10114770,24842853,10114770,35159329,50442032,35159329,23337408,8038196,23337408,40%,14%,40%,1169422,2773568,1169422,11407568,14491797,11407568,3044549,3201708,3044549,7715869,-12428877,7715869,13%,-21%,13%,1728141,2494225,1728141,5372880,6919655,5372880,1543174,0,1543174,2527956,-16854307,2527956,4%,-29%,4%,458476,373771,458476,6026440,6473378,6026440,15928926,-3087503,15928926,-7277893,-4060681,-7277893,-2936365,-8334022,-2936365,-10214258,-12394703,-10214258,,,,,1992084,1861481,1992084,7706752,-13620725,7706752,2665927,2208151,2665927,67189104,67161757,67189104,3428268,1714530,3428268,54209136,72623635,54209136,12979968,-5461878,12979968
22,Australia,Metals,Mining,Australia Mining Ltd,FY2019,Y,Q3,29257706,25905356,29257706,,,,28948662,25586755,28948662,58206368,51492111,58206368,6559358,7369695,6559358,8188006,9028553,8188006,7619281,8540522,7619281,12512364,11770229,12512364,34879009,36708999,34879009,23327359,14783112,23327359,40%,29%,40%,1529356,1974021,1529356,11917294,11499145,11917294,1695312,2447634,1695312,8185397,-1137688,8185397,14%,-2%,14%,2980716,2875215,2980716,6183865,5713804,6183865,1637079,0,1637079,3345169,-3976277,3345169,6%,-8%,6%,403262,363296,403262,7059041,9030956,7059041,18628416,11131779,18628416,-5390207,-2297506,-5390207,-8256730,-8922258,-8256730,-13646937,-11219764,-13646937,,,,,7450295,3727440,7450295,12431774,3639455,12431774,1494882,1182144,1494882,66760291,61705211,66760291,3876450,2267521,3876450,53897421,54897320,53897421,12862870,6807891,12862870
23,Australia,Metals,Mining,Australia Mining Ltd,FY2019,N,Q4,26961202,,26961202,,,,27969894,,27969894,54931096,0,54931096,7203888,,7203888,9331450,,9331450,5114881,,5114881,21655615,,21655615,43305834,0,43305834,11625262,0,11625262,21%,,21%,2278591,,2278591,11708981,,11708981,2280902,,2280902,-4643212,0,-4643212,-8%,,-8%,1149272,,1149272,5171192,,5171192,0,0,0,-8665132,0,-8665132,-16%,,-16%,419654,,419654,7548885,,7548885,4474599,0,4474599,-6187911,,-6187911,-3722725,,-3722725,-9910636,0,-9910636,,,,,9631967,,9631967,4195930,0,4195930,3584739,,3584739,66064720,0,66064720,3526103,,3526103,63100411,0,63100411,2964309,0,2964309
24,India,Metals,Mining,India Mining Ltd,FY2018,N,Q1,27081837,25243112,27081837,,,,29495100,25258110,29495100,56576937,50501222,56576937,7795829,7980925,7795829,5608261,5791900,5608261,9769009,7011879,9769009,24245848,19505312,24245848,47418947,40290016,47418947,9157990,10211206,9157990,16%,20%,16%,2484908,1714130,2484908,13235195,10047899,13235195,2221376,3244924,2221376,-8783489,-4795747,-8783489,-16%,-9%,-16%,2738887,1508228,2738887,7503209,6382883,7503209,0,0,0,-13547811,-9670402,-13547811,-24%,-19%,-24%,326821,398634,326821,6357404,5684551,6357404,639623,2795666,639623,-7680701,-8390116,-7680701,-6442773,-4229116,-6442773,-14123474,-12619232,-14123474,,,,,9754376,8524823,9754376,-3729475,-1298743,-3729475,3475984,2102559,3475984,66410325,58288332,66410325,3912170,2487011,3912170,69272596,57783980,69272596,-2862271,504352,-2862271
25,India,Metals,Mining,India Mining Ltd,FY2018,N,Q2,26166433,25856141,26166433,,,,28911723,29178404,28911723,55078156,55034545,55078156,6454689,8660485,6454689,5759887,7501320,5759887,9370844,9115592,9370844,18596069,18736001,18596069,40181489,44013398,40181489,14896667,11021147,14896667,27%,20%,27%,2997820,1740933,2997820,11612825,11989920,11612825,3951590,2458512,3951590,-3665568,-5168218,-3665568,-7%,-9%,-7%,2317576,2845759,2317576,5373430,7077530,5373430,0,0,0,-6721422,-9399989,-6721422,-12%,-17%,-12%,346303,463632,346303,8755611,7732984,8755611,7753922,5874157,7753922,-8800491,-4723508,-8800491,-5035297,-3197960,-5035297,-13835788,-7921468,-13835788,,,,,5666904,7359919,5666904,-414962,5312608,-414962,2629231,3332389,2629231,66462998,66099918,66462998,2487858,3434968,2487858,61231582,63637731,61231582,5231416,2462187,5231416
26,India,Metals,Mining,India Mining Ltd,FY2018,N,Q3,25740928,29194920,25740928,,,,26945355,29016989,26945355,52686283,58211909,52686283,9971922,5415833,9971922,9932174,9714242,9932174,6397491,9921739,6397491,21594273,13731171,21594273,47895860,38782985,47895860,4790423,19428924,4790423,9%,33%,9%,1196244,1034259,1196244,10635711,10360452,10635711,2473092,2959606,2473092,-9514624,5074607,-9514624,-18%,9%,-18%,2974381,2274381,2974381,7107053,5552932,7107053,0,1014921,0,-13647296,781135,-13647296,-26%,1%,-26%,147817,243044,147817,5745573,6957705,5745573,-646853,14549737,-646853,-8584639,-5701698,-8584639,-9512497,-8521268,-9512497,-18097136,-14222966,-18097136,,,,,1585146,3463660,1585146,-17158843,3790431,-17158843,4374387,1820101,4374387,62806243,66989715,62806243,2142409,2206028,2142409,64343316,55343330,64343316,-1537073,11646385,-1537073
